date,avg_hourly_earnings,cpi_all_items,cpi_core,cpi_energy,cpi_food,cpi_shelter,epop,lfpr,unemp_rate,headline_yoy_pct,core_yoy_pct,energy_yoy_pct,food_yoy_pct,shelter_yoy_pct,wage_yoy_pct,headline_minus_core_yoy
2016-07-01,25.69,240.101,247.829,189.046,247.406,288.524,59.8,62.8,4.8,0.8683633430518256,2.1701399624842965,-10.668500115771916,0.2727644863070644,3.291817176161449,2.7189124350259775,-1.301776619432471
2016-08-01,25.71,240.545,248.423,188.772,247.479,289.367,59.8,62.9,4.9,1.0553158595656864,2.3087345614186683,-9.496162125621478,0.07440506277929249,3.3745235262806483,2.430278884462145,-1.2534187018529819
2016-09-01,25.77,241.176,248.842,192.243,247.528,290.369,59.7,62.9,5.0,1.5486446201652182,2.271120682569183,-2.536426594202168,-0.18388283115040593,3.430969198929956,2.628434886499398,-0.722476062403965
2016-10-01,25.9,241.741,249.142,195.979,247.596,291.378,59.7,62.8,4.9,1.685924966243646,2.2045551507991146,0.18556764272861237,-0.2787085964686242,3.535172281463539,2.777777777777768,-0.5186301845554686
2016-11-01,25.9,242.026,249.481,196.372,247.525,292.227,59.7,62.7,4.7,1.6843334719788938,2.1454219398053587,0.6447512736144079,-0.22170714501662525,3.5792137639165,2.5742574257425765,-0.46108846782646484
2016-12-01,25.93,242.637,249.92,199.513,247.53,293.066,59.7,62.7,4.7,2.0507989115119862,2.197123661300271,4.927870076731722,-0.09323501277440638,3.637823176402777,2.6930693069306955,-0.1463247497882847
2017-01-01,26.0,243.618,250.467,205.369,247.9,293.769,59.9,62.8,4.7,2.5103933482571117,2.2502092221020176,10.86943612168325,-0.027019724398813505,3.5440619779073312,2.4832479306267308,0.2601841261550941
2017-02-01,26.07,244.006,250.998,204.133,248.513,294.543,60.0,62.9,4.6,2.8103616813294208,2.2353468290497336,15.720999314062833,0.10836112856704716,3.5293249256595827,2.7186761229314405,0.5750148522796872
2017-03-01,26.11,243.892,250.944,202.528,249.02,295.012,60.2,62.9,4.4,2.44119623655914,2.045845481938735,11.136231438699685,0.5333085720975905,3.4686905956046843,2.59332023575638,0.3953507546204049
2017-04-01,26.18,244.193,251.227,202.954,249.381,295.741,60.2,63.0,4.4,2.176223471915395,1.8965650108902388,8.698376652937934,0.5949835824869076,3.4591205969501715,2.5460242851547132,0.27965846102515624
2017-05-01,26.21,244.004,251.43,198.449,249.711,296.461,60.1,62.8,4.4,1.8563431667619756,1.7370931912259246,5.224395003075366,0.8627688579218473,3.3487301946976578,2.4628616106333157,0.11924997553605099
2017-06-01,26.26,244.163,251.746,197.808,249.519,297.215,60.1,62.8,4.3,1.640565809959127,1.6991193342490218,2.544855079601227,0.8483550238461035,3.2645516800489105,2.4980483996877467,-0.05855352428989491
2017-07-01,26.35,244.243,251.985,195.994,249.937,297.676,60.2,62.9,4.3,1.7251073506566073,1.6769627444729984,3.6752959597135204,1.0230148015812013,3.1720064881950893,2.5690930323083006,0.04814460618360883
2017-08-01,26.37,245.183,252.535,201.45,250.21,298.904,60.1,62.9,4.4,1.92812155729698,1.6552412618799472,6.716038395524748,1.1035279761111072,3.2958146575110314,2.5670945157526326,0.27288029541703285
2017-09-01,26.49,246.435,252.812,212.723,250.587,299.711,60.4,63.1,4.3,2.1805652303711787,1.5953898457655935,10.653183731007122,1.235819786044412,3.2172855917814935,2.7939464493597077,0.5851753846055852
2017-10-01,26.5,246.626,253.526,208.328,250.816,300.814,60.1,62.7,4.2,2.020757753132485,1.7596390813271245,6.301185331081394,1.3005056624501243,3.2384050957862343,2.316602316602312,0.2611186718053604
2017-11-01,26.54,247.284,253.816,213.047,250.996,301.43,60.1,62.7,4.2,2.172493864295566,1.7376072726981162,8.49153647159473,1.402282597717397,3.1492640994843057,2.471042471042484,0.4348865915974498
2017-12-01,26.63,247.805,254.344,213.574,251.49,302.428,60.1,62.7,4.1,2.129930719552253,1.770166453265043,7.0476610546681195,1.5998060841110107,3.194502262289056,2.699575780948704,0.35976426628721025
2018-01-01,26.72,248.859,255.204,216.855,252.116,303.213,60.1,62.7,4.0,2.151318868063945,1.8912671130328462,5.592859681840978,1.700685760387266,3.2147707892936417,2.7692307692307683,0.2600517550310988
2018-02-01,26.74,249.529,255.711,220.141,252.038,303.784,60.4,63.0,4.1,2.263468931091861,1.87770420481439,7.8419461821459535,1.4184368624579058,3.1374026882322825,2.5700038358266175,0.38576472627747105
